kategorie,zarizeni,nazev_poskytovatele,adresa_poskytovatele,ico,nazev_zarizeni_poskytovatele,vedouci_zarizeni,adresa_zarizeni_poskytovatele,datum_sluzba_od,forma_poskytovani_soc_sluz,cilova_skupina_klientu,vekova_kategorie,pocet_luzek,provozni_doba,kontakty
odlehčovací služby,Odlehčovací služby (9450189),AHC a.s.,"Budějovická 778/3, Praha 4-Michle, 140 00 Praha 4",24160369,Senior centrum Nový Bor,Andrea Málková,"B. Egermanna 354, 473 01 Nový Bor",1.1.2016,pobytové,"osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s tělesným postižením
osoby se zdravotním postižením
senioři",starší 18 let,počet lůžek - 6,poskytuje nepřetržitě,"['702 081 437', 'malkova@ambeat.cz', 'www.ddnovybor.cz']"
odlehčovací služby,Odlehčovací služby (8118529),"ALKA, o.p.s.","Podbrdská 269, Příbram V-Zdaboř, 261 01 Příbram 1",27240185,Odlehčovací služby,Mgr. Robert Dikan,"Podbrdská 269, Příbram V-Zdaboř, 261 01 Příbram 1",1.3.2010,pobytové,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením","děti předškolního věku (1 - 6 let)
mladší děti (7 –10 let)
starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)",počet lůžek - 3,"pondělí:
úterý:
středa:
čtvrtek:
pátek:
od 17:00
sobota:
nepřetržitě
neděle:
do 18:00",['neuvedeny']
odlehčovací služby,Odlehčovací služby (4397935),Andělé Stromu života pobočný spolek Moravskoslezský kraj,"Msgr. Šrámka 1186/16, Nový Jičín, 741 01 Nový Jičín 1",3632661,"Andělé stromu života pobočný spolek MSK, Terénní odlehčovací služba Strom života - kontaktní místo",Bc. et Bc. Aneta Badžgoňová,"Kostelní 71/37, Nový Jičín, 741 01 Nový Jičín 1",8.8.2016,terénní,"děti a mládež ve věku od 6 do 26 let ohrožené společensky nežádoucími jevy
osoby s chronickým duševním onemocněním
osoby s chronickým onemocněním
osoby s jiným zdravotním postižením
osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se sluchovým postižením
osoby se zdravotním postižením
osoby se zrakovým postižením
rodiny s dítětem/dětmi
senioři",bez omezení věku,počet klientů - 4,poskytuje nepřetržitě,"['553 038 016', 'socialni@zivotastrom.cz', 'www.zivotastrom.cz']"
odlehčovací služby,Odlehčovací služby (3837595),"ANIMA ČÁSLAV, o.p.s.","Svat. Čecha 441/5, Čáslav-Nové Město, 286 01 Čáslav",27226751,"ANIMA ČÁSLAV, o.p.s.",Mgr. Eva Medková,"Svat. Čecha 441/5, Čáslav-Nové Město, 286 01 Čáslav",1.9.2009,pobytové,"osoby s jiným zdravotním postižením
osoby se zdravotním postižením
senioři","dospělí (27 – 64 let)
mladší senioři (65 – 80 let)
starší senioři (nad 80 let)","počet lůžek - 5
5 třítýdenních cyklů v průběhu roku v měsících únor, duben, květen, červen, listopad",poskytuje nepřetržitě,"['327 313 039', '327 312 678', 'anima.caslav@centrum.cz', 'http://www.anima.pecovatelska-sluzba.cz']"
odlehčovací služby,Odlehčovací služby (2534470),"APLA Jižní Čechy, z.ú.","Farského 887/17, Tábor, 390 02 Tábor 2",28552288,Odlehčovací služba APLA Jižní Čechy,Miluše Schillingová,"Opařany 121, 391 61 Opařany",1.1.2013,pobytové,"osoby se zdravotním postižením
Lidé s poruchou autistického spektra - dětský autismus, atypický autismus, Aspergerův syndrom, dezintegrační porucha v dětství, Rettův syndrom.
rodiny s dítětem/dětmi
Rodiny dětí, dospívajících a dospělých s poruchou autistického spektra (dětský autismus, atypický autismus, Aspergerův syndrom, dezintegrační porucha v dětství, Rettův syndrom).",3 - 30 let,počet lůžek - 6,"pondělí:
úterý:
středa:
čtvrtek:
pátek:
od 17:00 - služba probíhá jednou až dvakrát měsíčně, aktuální termíny viz. www stránky
sobota:
nepřetržitě - služba probíhá jednou až dvakrát měsíčně, aktuální termíny viz. www stránky
neděle:
do 17:00 - služba probíhá jednou až dvakrát měsíčně, aktuální termíny viz. www stránky","['608 666 167', 'info@aplajc.cz', 'www.aplajc.cz']"
odlehčovací služby,Odlehčovací služby (7557576),"ARCHA Borovany, o. p. s.","Žižkovo nám. 107, 373 12 Borovany",28149629,"ARCHA Borovany, o. p. s.",Mgr. Monika Strapková,"Žižkovo nám. 149, 373 12 Borovany",17.5.2018,terénní,"osoby s tělesným postižením
osoby se zdravotním postižením",od 15 do 64 let,"počet klientů - 1
1 daný moment","pondělí:
7:00 - 15:00 - a dále od 15:30 do 18:00 přítomna sociální pracovnice
úterý:
7:00 - 15:00
středa:
7:00 - 15:00 - a dále od 15:30 do 18:00 přítomna sociální pracovnice
čtvrtek:
7:00 - 15:00
pátek:
7:00 - 15:00
sobota:
neděle:","['399499936', 'info@archaborovany.cz', 'www.archaborovany.cz']"
odlehčovací služby,Odlehčovací služby (1294772),"Arkadie, o. p. s.","Purkyňova 2004/10, Teplice, 415 01 Teplice 1",556203,Středisko Arkadie Bratislavská,Mgr. Marek Petlan,"Bratislavská 2008/1, Teplice, 415 01 Teplice 1",1.1.2010,ambulantní,"osoby s kombinovaným postižením
Terénní služba je poskytována v okruhu max. 20 km od Teplic.
osoby s mentálním postižením
Terénní služba je poskytována v okruhu max. 20 km od Teplic.
osoby s tělesným postižením
Terénní služba je poskytována v okruhu max. 20 km od Teplic.","mladší děti (7 –10 let)
starší děti (11 – 15 let)
dorost (16 – 18 let)
mladí dospělí (19 – 26 let)
dospělí (27 – 64 let)","počet klientů - 2
počet klientů při práci s jednotlivcem:2","pondělí:
15:30 - 22:00
úterý:
15:30 - 22:00
středa:
15:30 - 22:00
čtvrtek:
15:30 - 22:00
pátek:
15:30 - 22:00
sobota:
8:00 - 22:00
neděle:
8:00 - 22:00",['neuvedeny']
odlehčovací služby,Odlehčovací služby (4024545),"Arpida, centrum pro rehabilitaci osob se zdravotním postižením, z.ú.","U Hvízdala 1402/9, České Budějovice 2, 370 11 České Budějovice 11",65053079,Odlehčovací služby centra Arpida,Mgr. Ing. Marek Wohlgemuth,"Husova tř. 1651/125b, České Budějovice 2, 370 11 České Budějovice 11",2.5.2016,pobytové,"osoby s kombinovaným postižením
Sociální služba je určena osobám, o které je pečováno v jejich přirozeném sociálním prostředí. Sociální služba není poskytována osobám s psychiatrickým onemocněním, osobám s agresivním chováním (které ohrožují sebe nebo své okolí) nebo osobám, které jsou plně závislé na stálém lékařském dohledu a ošetřovateslké péči.
osoby s mentálním postižením
Sociální služba je určena osobám, o které je pečováno v jejich přirozeném sociálním prostředí. Sociální služba není poskytována osobám s psychiatrickým onemocněním, osobám s agresivním chováním (které ohrožují sebe nebo své okolí) nebo osobám, které jsou plně závislé na stálém lékařském dohledu a ošetřovateslké péči.
osoby s tělesným postižením
Sociální služba je určena osobám, o které je pečováno v jejich přirozeném sociálním prostředí. Sociální služba není poskytována osobám s psychiatrickým onemocněním, osobám s agresivním chováním (které ohrožují sebe nebo své okolí) nebo osobám, které jsou plně závislé na stálém lékařském dohledu a ošetřovateslké péči.
osoby se zdravotním postižením
Sociální služba je určena osobám, o které je pečováno v jejich přirozeném sociálním prostředí. Sociální služba není poskytována osobám s psychiatrickým onemocněním, osobám s agresivním chováním (které ohrožují sebe nebo své okolí) nebo osobám, které jsou plně závislé na stálém lékařském dohledu a ošetřovateslké péči.",od 7 do 40 let,počet lůžek - 3,poskytuje nepřetržitě,"['385777011', 'info@arpida.cz', 'http://www.arpida.cz']"
odlehčovací služby,Odlehčovací služby (9012738),"Auticentrum, o.p.s.","Plzeňská 2219/44, České Budějovice 3, 370 04 České Budějovice 4",2426374,"Auticentrum, o.p.s.",neuveden,"Plzeňská 2219/44, České Budějovice 3, 370 04 České Budějovice 4",18.4.2017,pobytové,"osoby se zdravotním postižením
Lidé s poruchou autistického spektra - dětský autismus, atypický autismus, Aspergerův syndrom, Rettův syndrom, dezintegrační porucha v dětství. Služba je poskytována ve stanovený čas 2x za měsíc .",5 - 45 let,počet lůžek - 6,"pondělí:
úterý:
středa:
čtvrtek:
pátek:
19:00 - 23:59
sobota:
0:00 - 23:59
neděle:
0:00 - 19:00","['606046118', 'auticentrum@centrum.cz', 'www.auticentrum.cz']"
odlehčovací služby,Odlehčovací služby (7875047),Auxilium o.p.s.,"Hošťálková 428, 756 22 Hošťálková u Vsetína",2083825,Centrum Auxilium,Bc. Kunetková Iva,"Nemocniční 945, Vsetín, 755 01 Vsetín 1",1.1.2014,terénní,"osoby s kombinovaným postižením
osoby s mentálním postižením
osoby s tělesným postižením
osoby se zdravotním postižením
s poruchami autistického spektra",děti předškolního věku (1- 6 let) mladší děti (7 - 10 let) starší děti (11 - 15 let) dorost (16 - 18 let) mladí dospělí (19 - 26 let) dospělí (27 - 30 let),"počet klientů - 8
okamžitá kapacita. Územní působnost: regiony měst Vsetín, Valašské Meziříčí, Rožnov pod Radhoštěm","pondělí:
6:00 - 18:00
úterý:
6:00 - 18:00
středa:
6:00 - 18:00
čtvrtek:
6:00 - 18:00
pátek:
6:00 - 18:00
sobota:
neděle:","['603823293', 'bozena.mikulikova@auxilium.cz', 'www.auxilium.cz']"
